id,price
0,2961.31
1,5367.02
2,9413.4
3,4094.57
4,1695.42
5,6205.85
6,4819.33
7,4227.32
8,5138.69
9,15995.96
10,4331.94
11,885.82
12,3200.32
13,1670.97
14,2400.45
15,1129.32
16,1446.83
17,4015.78
18,4164.32
19,869.64
20,2299.85
21,5215.01
22,4078.94
23,608.34
24,16663.82
25,1075.13
26,630.49
27,979.13
28,1651.21
29,913.67
30,10225.66
31,570.69
32,3999.48
33,731.36
34,622.16
35,2359.59
36,6450.62
37,2659.01
38,2883.1
39,667.26
40,507.04
41,8838.34
42,889.92
43,1886.16
44,10542.89
45,2555.38
46,926.67
47,907.41
48,1215.65
49,2862.64
50,600.08
51,4638.54
52,2890.52
53,6915.03
54,5494.76
55,2211.69
56,8151.2
57,2479.2
58,4443.41
59,2925.45
60,1273.15
61,509.95
62,6977.99
63,1107.54
64,8767.75
65,17487.62
66,869.52
67,11919.79
68,5473.41
69,9219.26
70,471.48
71,634.67
72,919.01
73,1271.47
74,5201.29
75,1825.75
76,8400.87
77,14340.5
78,2771.79
79,6518.26
80,10880.48
81,2098.99
82,14551.65
83,6403.42
84,849.63
85,8181.6
86,1018.43
87,12004.35
88,7896.58
89,15040.74
90,4979.77
91,1327.42
92,1001.33
93,851.1253333333333
94,16645.33
95,500.21
96,14697.64
97,15462.16
98,12960.53
99,768.31
100,2549.09
101,750.0816666666667
102,661.96
103,461.68
104,1036.97
105,1619.7
106,1298.02
107,815.89
108,1034.63
109,666.73
110,652.09
111,999.98
112,1897.53
113,1674.83
114,1515.49
115,5111.29
116,5313.14
117,15818.83
118,486.83
119,16689.85
120,1308.37
121,1696.19
122,1160.97
123,509.86
124,737.93
125,1315.37
126,1117.78
127,13040.03
128,5203.56
129,5034.22
130,6470.59
131,3442.98
132,6824.79
133,1017.28
134,4157.99
135,1033.97
136,589.54
137,7203.94
138,556.09
139,4473.18
140,883.61
141,1025.21
142,3689.36
143,3581.96
144,752.2933333333334
145,6565.36
146,16656.68
147,5375.11
148,2646.53
149,1858.07
150,2537.53
151,1689.47
152,12104.94
153,2825.88
154,647.82
155,14831.72
156,3673.52
157,2937.21
158,3955.71
159,845.38
160,7689.19
161,9523.44
162,684.9
163,705.29
164,5357.24
165,11297.26
166,3442.69
167,4582.07
168,3397.96
169,11604.71
170,680.72
171,1664.48
172,4500.18
173,2046.2
174,6360.29
175,1776.3
176,4425.26
177,3442.2
178,2641.66
179,3502.77
180,3514.57
181,1921.1
182,940.05
183,1661.03
184,682.83
185,4055.92
186,841.47
187,898.27
188,504.31
189,1833.57
190,2265.65
191,691.77
192,893.7
193,6559.54
194,3769.39
195,2654.13
196,632.67
197,13479.51
198,595.0
199,8771.85
200,10927.06
201,6430.21
202,664.28
203,719.65
204,6518.5
205,3600.51
206,639.82
207,3120.05
208,1031.09
209,8675.49
210,2675.06
211,7159.58
212,11387.52
213,398.74
214,1273.58
215,892.54
216,2583.35
217,2581.18
218,916.03
219,1272.04
220,2551.05
221,2161.29
222,8888.38
223,988.01
224,1223.65
225,4476.57
226,3218.32
227,1918.19
228,6363.94
229,1876.54
230,5087.33
231,1433.42
232,1289.78
233,1559.62
234,989.22
235,8356.36
236,1236.48
237,1002.39
238,4035.42
239,7951.29
240,6077.42
241,949.69
242,15732.14
243,4375.8
244,465.72
245,1095.83
246,2503.15
247,7483.29
248,10734.81
249,5901.33
250,5316.9
251,1529.89
252,2768.85
253,5252.99
254,5109.79
255,1275.83
256,664.51
257,1944.1
258,868.2
259,14874.81
260,6260.23
261,4767.92
262,1769.66
263,3803.62
264,819.06
265,2252.32
266,7787.97
267,1746.84
268,1038.67
269,8821.17
270,7536.11
271,788.91
272,4259.53
273,5149.95
274,531.21
275,944.23
276,6095.52
277,531.51
278,6506.33
279,8284.25
280,1637.17
281,2622.08
282,3968.99
283,9154.08
284,8964.12
285,10600.47
286,5105.54
287,16828.8
288,1720.42
289,5903.22
290,424.05
291,8273.59
292,17741.51
293,927.5
294,7733.69
295,1818.37
296,2255.05
297,724.23
298,450.11
299,5757.62
300,2166.09
301,1104.12
302,3538.42
303,5520.71
304,5869.48
305,8599.07
306,1071.45
307,1016.29
308,1772.59
309,2150.39
310,1762.01
311,491.42
312,7462.41
313,5186.2
314,2392.36
315,10043.91
316,660.6
317,1045.84
318,954.75
319,8399.08
320,4919.09
321,525.19
322,452.77
323,500.69
324,938.94
325,5673.17
326,1700.98
327,1783.96
328,6339.3
329,833.29
330,17244.67
331,2397.61
332,871.11
333,8754.6
334,3483.55
335,1810.33
336,16103.85
337,967.28
338,910.04
339,6014.57
340,630.27
